1756672926886;#A:4.741920
1756672926886;#A:4.741920
1756672926890;#B:4.029407
1756672926893;#I:20.000000
1756672926909;#A:4.741920
1756672926912;#B:4.028150
1756672926915;#I:21.000000
1756672926931;#A:4.741920
1756672926933;#B:4.027522
1756672926936;#I:22.000000
1756672926952;#A:4.741920
1756672926955;#B:4.028150
1756672926958;#I:23.000000
1756672926974;#A:4.741920
1756672926977;#B:4.028779
1756672926980;#I:24.000000
1756672926996;#A:4.741920
1756672927000;#B:4.028779
1756672927001;#I:25.000000
1756672927018;#A:4.741920
1756672927021;#B:4.028779
1756672927024;#I:26.000000
1756672927041;#A:4.741920
1756672927043;#B:4.028779
1756672927046;#I:27.000000
1756672927063;#A:4.741920
1756672927066;#B:4.028779
1756672927069;#I:28.000000
1756672927088;#A:4.741920
1756672927088;#B:4.028779
1756672927092;#I:29.000000
1756672927106;#A:4.741920
1756672927109;#B:4.028779
1756672927113;#I:30.000000
1756672927129;#A:4.741920
1756672927132;#B:4.028779
1756672927135;#I:31.000000
1756672927151;#A:4.741920
1756672927154;#B:4.028779
1756672927156;#I:32.000000
1756672927173;#A:4.741920
1756672927175;#B:4.028779
1756672927178;#I:33.000000
1756672927194;#A:4.741920
1756672927197;#B:4.028779
1756672927200;#I:34.000000
1756672927216;#A:4.741920
1756672927220;#B:4.028779
1756672927222;#I:35.000000
1756672927239;#A:4.741920
1756672927242;#B:4.028779
1756672927245;#I:36.000000
1756672927261;#A:4.741920
1756672927264;#B:4.028779
1756672927267;#I:37.000000
1756672927283;#A:4.741920
1756672927285;#B:4.028779
1756672927288;#I:38.000000
1756672927304;#A:4.741920
1756672927308;#B:4.028779
1756672927311;#I:39.000000
1756672927326;#A:4.741920
1756672927330;#B:4.028779
1756672927333;#I:40.000000
1756672927348;#A:4.741920
1756672927352;#B:4.028779
1756672927355;#I:41.000000
1756672927370;#A:4.741920
1756672927373;#B:4.028779
1756672927376;#I:42.000000
1756672927393;#A:4.741920
1756672927396;#B:4.028779
1756672927399;#I:43.000000
1756672927415;#A:4.741920
1756672927418;#B:4.028779
1756672927421;#I:44.000000
1756672927437;#A:4.741920
1756672927440;#B:4.028779
1756672927443;#I:45.000000
1756672927459;#A:4.741920
1756672927462;#B:4.028779
1756672927465;#I:46.000000
1756672927481;#A:4.741920
1756672927484;#B:4.028779
1756672927486;#I:47.000000
1756672927503;#A:4.741920
1756672927506;#B:4.028779
1756672927509;#I:48.000000
1756672927524;#A:4.741920
1756672927528;#B:4.028779
1756672927532;#I:49.000000
1756672927546;#A:4.741920
1756672927549;#B:4.028779
1756672927553;#I:50.000000
1756672927569;#A:4.741920
1756672927571;#B:4.028779
1756672927574;#I:51.000000
