1756302759142;#A:0.574911
1756302759142;#A:0.566115
1756302759142;#B:0.273947
1756302759142;#I:1.000000
1756302759157;#A:0.566115
1756302759157;#B:0.273947
1756302759173;#I:2.000000
1756302759190;#A:0.566115
1756302759191;#B:0.273947
1756302759194;#I:3.000000
1756302759205;#A:0.566115
1756302759205;#B:0.273947
1756302759205;#I:4.000000
1756302759221;#A:0.566115
1756302759236;#B:0.273947
1756302759240;#I:5.000000
1756302759253;#A:0.566115
1756302759253;#B:0.273947
1756302759253;#I:6.000000
1756302759269;#A:0.566115
1756302759269;#B:0.273947
1756302759269;#I:7.000000
1756302759294;#A:0.566115
1756302759300;#B:0.273947
1756302759300;#I:8.000000
1756302759317;#A:0.566115
1756302759317;#B:0.273947
1756302759317;#I:9.000000
1756302759336;#A:0.566115
1756302759336;#B:0.273947
1756302759349;#I:10.000000
1756302759365;#A:0.566115
1756302759365;#B:0.273947
1756302759365;#I:11.000000
1756302759384;#A:0.566115
1756302759384;#B:0.273947
1756302759394;#I:12.000000
1756302759398;#A:0.566115
1756302759413;#B:0.273947
1756302759415;#I:13.000000
1756302759429;#A:0.566115
1756302759429;#B:0.273947
1756302759429;#I:14.000000
1756302759446;#A:0.566115
1756302759446;#B:0.273947
1756302759446;#I:15.000000
1756302759465;#A:0.566115
1756302759477;#B:0.273947
1756302759477;#I:16.000000
1756302759494;#A:0.566115
1756302759494;#B:0.273947
1756302759494;#I:17.000000
1756302759509;#A:0.566115
1756302759509;#B:0.273947
1756302759524;#I:18.000000
1756302759541;#A:0.566115
1756302759544;#B:0.273947
1756302759547;#I:19.000000
1756302759561;#A:0.566115
1756302759566;#B:0.273947
1756302759567;#I:20.000000
1756302759585;#A:0.566115
1756302759589;#B:0.273947
1756302759589;#I:21.000000
1756302759605;#A:0.566115
1756302759608;#B:0.273947
1756302759608;#I:22.000000
1756302759622;#A:0.566115
1756302759631;#B:0.273947
1756302759636;#I:23.000000
1756302759651;#A:0.566115
